Date,Open,High,Low,Close,Volume
2020-01-02,212.46,213.27,211.96,212.58,22908100
2020-01-03,210.62,212.05,209.57,211.82,24627400
2020-01-06,209.49,212.08,208.75,211.80,22813900
2020-01-07,212.80,213.28,211.35,211.46,20725200
2020-01-08,211.71,214.00,211.10,213.98,23849700
2020-01-09,215.39,216.17,214.54,216.00,24150800
2020-01-10,216.11,216.40,214.89,216.24,19420400
2020-01-13,217.00,218.91,217.00,218.82,20156500
2020-01-14,218.68,219.06,217.28,217.49,21467300
2020-01-15,217.35,218.20,216.93,218.00,17949200
2020-01-16,218.68,220.24,218.68,220.14,19240400
2020-01-17,220.93,222.32,220.80,222.11,22908500
2020-01-21,221.00,222.42,220.54,221.44,20963900
2020-01-22,222.31,222.75,221.47,222.53,16583700
2020-01-23,222.41,223.16,221.32,222.93,18044600
2020-01-24,223.44,223.62,220.89,221.11,22370400
2020-01-27,216.79,218.59,215.36,217.71,30701800
2020-01-28,219.62,221.90,219.62,221.57,22268900
2020-01-29,222.10,222.54,220.30,221.50,19477000
2020-01-30,219.05,221.18,218.65,220.93,22513300
2020-01-31,220.14,220.46,214.81,214.99,36725500
2020-02-03,214.68,219.61,214.68,219.61,28850700
2020-02-04,221.93,224.72,221.93,224.70,26176600
2020-02-05,226.09,227.55,224.51,227.24,25977700
2020-02-06,227.46,228.62,227.46,228.35,18892900
2020-02-07,227.02,227.40,225.98,226.08,18657100
2020-02-10,226.75,229.42,226.34,229.11,20193300
2020-02-11,231.27,231.77,229.96,231.61,21339700
2020-02-12,232.26,234.52,232.26,234.14,21766100
2020-02-13,232.83,233.84,231.89,233.60,17779800
2020-02-14,234.21,234.36,232.87,234.31,14952700
2020-02-18,231.29,233.32,229.72,233.26,20879800
2020-02-19,234.09,237.64,234.04,237.51,22728400
2020-02-20,237.02,238.21,234.15,235.11,24248700
2020-02-21,233.89,235.31,231.32,231.68,25988400
2020-02-24,223.77,225.29,220.60,225.01,43814700
2020-02-25,225.75,225.97,216.25,216.52,44167100
2020-02-26,218.98,222.37,215.73,219.52,44310900
2020-02-27,213.85,215.70,205.27,206.49,61037900
2020-02-28,203.50,211.67,200.06,210.08,74320800
2020-03-02,214.18,219.88,209.14,219.56,58699600
